capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1784729017,782957031,85.818,0.721,86.462,5,1
1784729017,849638672,88.978,0.715,89.62,5,1
1784729017,916319824,87.725,0.654,88.307,5,1
1784729017,983004150,86.658,0.647,87.229,5,1
1784729018,49691406,86.497,0.651,87.075,5,1
1784729018,116378174,86.326,0.639,86.892,5,1
1784729018,183064453,87.192,0.792,87.91,5,1
1784729018,249750244,89.324,0.801,90.045,5,1
1784729018,316435547,90.372,0.664,90.964,5,1
1784729018,383120605,85.654,0.709,86.285,5,1
1784729018,449804932,88.67,4.436,92.994,5,1
1784729018,516489014,87.688,0.74,88.357,5,1
1784729018,583172852,89.135,0.715,89.775,5,1
1784729018,649855957,87.286,0.729,87.943,5,1
1784729018,716538574,86.562,0.812,87.3,5,1
1784729018,783220947,88.194,0.738,88.856,5,1
1784729018,849902832,91.127,0.77,91.821,5,1
1784729018,916584229,88.969,0.65,89.546,5,1
1784729018,983292236,86.145,0.654,86.728,5,1
1784729019,50027588,86.587,0.653,87.167,5,1
1784729019,116763916,86.306,0.637,86.872,5,1
1784729019,183501221,86.986,1.121,88.035,5,1
1784729019,250239502,86.797,0.655,87.379,5,1
1784729019,316979004,86.449,0.649,87.026,5,1
1784729019,383719238,87.518,0.757,88.198,5,1
1784729019,450460449,88.257,4.244,92.39,5,1
1784729019,517202637,88.19,0.652,88.771,5,1
1784729019,583946045,88.953,0.653,89.533,5,1
1784729019,650690186,86.216,0.643,86.785,5,1
1784729019,717435547,88.617,0.646,89.19,5,1
1784729019,784181641,87.591,0.681,88.196,5,1
1784729019,850928955,88.288,0.726,88.937,5,1
1784729019,917677246,85.563,0.649,86.139,5,1
1784729019,984396240,86.345,0.635,86.91,5,1
1784729020,51086426,86.035,0.65,86.613,5,1
1784729020,117776123,86.525,0.656,87.109,5,1
1784729020,184465332,86.922,0.664,87.509,5,1
1784729020,251154297,103.247,0.922,104.079,5,1
1784729020,284498535,130.571,0.689,131.187,5,1
1784729020,317842529,542.01,19.127,561.009,5,1
1784729020,351186768,567.061,0.924,567.898,5,1
1784729020,417874512,565.683,1.144,566.734,5,1
1784729020,817992188,227.956,0.844,228.715,5,1
1784729020,884677002,212.984,1.316,214.16,5,1
1784729020,951472656,188.611,1.0,189.524,5,1
1784729021,18270264,182.114,0.976,182.994,5,1
1784729021,51669922,195.745,0.69,196.36,5,1
1784729021,118470703,179.126,0.826,179.846,5,1
1784729021,185273682,153.139,1.186,154.22,5,1
1784729021,285481934,130.794,1.073,131.786,5,1
1784729021,352290039,112.505,0.675,113.106,5,1
1784729021,419100098,105.594,0.875,106.292,5,1
1784729021,485912354,110.914,0.859,111.687,5,1
1784729021,519319336,118.631,1.078,119.627,5,1
1784729021,586134521,105.255,0.814,105.986,5,1
1784729021,652951904,104.458,1.071,105.343,5,1
1784729021,719771484,106.845,2.124,108.882,5,1
1784729021,786593018,117.21,7.316,124.389,5,1
1784729021,820004639,129.442,0.826,130.188,5,1
1784729021,886827881,125.921,0.983,126.819,5,1
1784729021,953538330,112.254,1.299,113.458,5,1
1784729021,986887207,126.213,1.26,127.371,5,1
1784729022,20235840,144.91,1.331,146.074,5,1
1784729022,86933105,118.975,5.788,124.664,5,1
1784729022,120281738,129.544,1.226,130.582,5,1
1784729022,186978516,116.262,0.903,117.084,5,1
1784729022,253674805,116.456,0.698,117.076,5,1
1784729022,320371094,110.745,1.041,111.701,5,1
1784729022,387066895,104.409,1.321,105.522,5,1
1784729022,453762451,104.658,0.773,105.35,5,1
1784729022,520457520,103.482,0.917,104.31,5,1
1784729022,587152588,104.348,0.84,105.091,5,1
1784729022,653847168,102.42,1.131,103.308,5,1
1784729022,720541260,111.507,1.187,112.601,5,1
1784729022,787235352,111.198,0.76,111.878,5,1
1784729022,853928955,108.326,16.22,124.302,5,1
1784729022,887275635,136.569,1.626,138.027,5,1
1784729022,953968994,114.476,1.167,115.541,5,1
1784729022,987318115,124.83,2.19,126.934,5,1
1784729023,54016113,110.909,0.734,111.565,5,1
1784729023,120713867,102.186,1.138,103.241,5,1
1784729023,187411377,105.48,0.89,106.241,5,1
1784729023,254108398,106.51,3.488,109.044,5,1
1784729023,287457031,131.162,0.99,131.916,5,1
1784729023,320805420,155.552,1.186,156.656,5,1
1784729023,387501953,141.295,0.91,142.115,5,1
1784729023,454198242,121.692,0.996,122.607,5,1
1784729023,487546143,146.11,0.912,146.932,5,1
1784729023,554241943,122.55,1.234,123.651,5,1
1784729023,587589600,139.132,4.434,139.78,5,1
1784729023,654284912,117.336,0.976,118.234,5,1
1784729023,687632568,134.714,0.951,135.569,5,1
1784729023,754327393,109.194,0.814,109.93,5,1
1784729023,821021973,108.287,0.798,109.008,5,1
1784729023,887716309,108.343,18.543,126.755,5,1
1784729023,921063232,123.769,1.84,125.477,5,1
1784729023,987759766,111.215,0.954,112.077,5,1
1784729024,21109375,117.18,0.671,117.777,5,1
1784729024,87808105,106.238,0.761,106.923,5,1
1784729024,154506836,110.159,1.021,111.094,5,1
1784729024,187855957,116.436,0.724,117.085,5,1
1784729024,254553955,103.66,2.356,105.852,5,1
1784729024,321251953,103.317,0.893,104.127,5,1
1784729024,387949463,116.117,0.86,116.903,5,1
1784729024,454646729,103.307,1.04,104.261,5,1
1784729024,521343506,105.616,0.958,106.454,5,1
1784729024,588040283,118.66,6.375,124.929,5,1
1784729024,621388428,134.503,1.015,135.42,5,1
1784729024,688084717,120.091,1.526,121.53,5,1
1784729024,721432861,127.681,0.888,128.483,5,1
1784729024,788128662,119.223,0.744,119.888,5,1
1784729024,821476563,142.946,1.533,144.379,5,1
1784729024,888171875,118.064,5.02,122.943,5,1
1784729024,921519531,149.674,1.485,151.065,5,1
1784729024,988216553,135.305,1.348,136.556,5,1
1784729025,54915771,108.672,1.102,109.686,5,1
1784729025,121614502,107.508,1.028,108.349,5,1
1784729025,188312988,102.959,1.0,103.82,5,1
1784729025,255010986,106.269,0.882,107.068,5,1
1784729025,321708984,104.268,1.179,105.356,5,1
1784729025,388406494,103.42,0.907,104.241,5,1
1784729025,455104004,113.186,0.754,113.861,5,1
1784729025,521801025,105.323,0.973,106.207,5,1
1784729025,588497803,103.754,1.103,104.773,5,1
1784729025,655194336,107.121,0.949,107.972,5,1
1784729025,688542480,119.033,0.675,119.632,5,1
1784729025,721890625,133.178,0.82,133.92,5,1
1784729025,821934326,112.488,0.944,113.294,5,1
1784729025,855282227,121.144,0.738,121.803,5,1
1784729025,921977539,119.784,19.937,139.58,5,1
1784729025,988718262,123.593,0.967,124.467,5,1
1784729026,55505371,111.649,0.997,112.434,5,1
1784729026,122294678,103.666,4.543,107.912,5,1
1784729026,189086182,102.682,0.832,103.423,5,1
1784729026,255879395,105.488,4.537,109.853,5,1
1784729026,322674561,103.899,1.234,104.985,5,1
1784729026,389471924,104.26,2.485,106.497,5,1
1784729026,456271240,103.713,0.904,104.52,5,1
1784729026,523072510,102.036,0.826,102.776,5,1
1784729026,589875977,107.891,1.084,108.869,5,1
1784729026,656681152,103.406,1.009,104.321,5,1
1784729026,723488525,102.502,0.865,103.274,5,1
1784729026,790297852,111.646,0.955,112.512,5,1
1784729026,857109131,117.465,0.746,118.136,5,1
1784729026,890515625,135.994,7.652,143.456,5,1
1784729026,957328613,112.138,4.983,116.986,5,1
1784729026,990685059,142.617,2.591,144.87,5,1
1784729027,57397705,125.208,1.271,126.392,5,1
1784729027,90753906,150.802,0.995,151.669,5,1
1784729027,157466553,129.232,1.623,130.691,5,1
1784729027,190822754,153.737,1.284,154.44,5,1
1784729027,257535156,133.4,1.049,134.361,5,1
1784729027,324247803,110.189,0.683,110.797,5,1
1784729027,390960205,102.706,0.999,103.619,5,1
1784729027,457672363,102.988,0.971,103.833,5,1
1784729027,524384766,106.589,0.881,107.38,5,1
1784729027,591097168,107.932,0.905,108.747,5,1
1784729027,624453125,119.004,1.233,119.743,5,1
1784729027,691165283,106.444,0.692,107.049,5,1
