capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785989064,391202881,90.368,1.124,91.419,5,1
1785989064,457874268,88.349,1.104,89.378,5,1
1785989064,524544678,87.774,1.079,88.779,5,1
1785989064,591214600,87.763,1.094,88.781,5,1
1785989064,657883545,87.316,7.521,94.723,5,1
1785989064,724551758,90.399,0.968,91.294,5,1
1785989064,791219238,87.638,0.967,88.533,5,1
1785989064,824552734,101.87,1.375,103.153,5,1
1785989064,924552002,88.48,0.963,89.37,5,1
1785989064,991217285,88.924,1.024,89.872,5,1
1785989065,57881592,124.359,1.37,125.641,5,1
1785989065,124545410,114.39,2.199,116.471,5,1
1785989065,157876953,137.673,1.722,139.271,5,1
1785989065,224539551,132.38,1.739,134.04,5,1
1785989065,291201172,119.512,1.823,121.25,5,1
1785989065,357862793,95.073,1.071,96.07,5,1
1785989065,424617432,89.035,2.278,91.234,5,1
1785989065,491373535,88.233,1.016,89.176,5,1
1785989065,524752197,121.443,1.356,122.701,5,1
1785989065,591510498,93.636,1.081,94.641,5,1
1785989065,624890137,120.87,7.045,127.801,5,1
1785989065,691650391,97.787,1.246,98.959,5,1
1785989065,758412354,111.116,1.491,112.514,5,1
1785989065,791793701,122.197,1.017,123.142,5,1
1785989065,891940186,89.817,1.041,90.713,5,1
1785989065,958706543,87.561,1.059,88.495,5,1
1785989066,25474121,94.188,2.869,96.973,5,1
1785989066,92243164,113.902,5.486,119.3,5,1
1785989066,125628174,128.361,1.453,129.726,5,1
1785989066,192399170,105.342,3.505,108.736,5,1
1785989066,292558838,92.407,1.092,93.427,5,1
1785989066,359332764,89.601,1.01,90.537,5,1
1785989066,426014648,89.436,1.035,90.397,5,1
1785989066,492696045,88.223,1.014,89.16,5,1
1785989066,559376709,87.111,1.284,88.318,5,1
1785989066,626056885,86.969,1.166,88.059,5,1
1785989066,692736572,90.364,6.786,96.992,5,1
1785989066,726075928,125.783,1.519,127.214,5,1
1785989066,792754639,111.605,1.358,112.879,5,1
1785989066,859432861,91.834,9.772,101.177,5,1
1785989066,926110107,92.126,0.969,93.022,5,1
1785989066,992787109,89.376,1.134,90.432,5,1
1785989067,59463379,105.533,1.928,107.134,5,1
1785989067,92801270,132.861,1.436,134.054,5,1
1785989067,159476563,124.557,1.282,125.752,5,1
1785989067,226151367,110.377,2.489,112.781,5,1
1785989067,259488525,133.516,2.842,136.255,5,1
1785989067,326162354,120.993,1.297,122.203,5,1
1785989067,392915771,96.221,1.135,97.246,5,1
1785989067,459749023,96.278,1.041,97.247,5,1
1785989067,526583740,89.761,0.968,90.657,5,1
1785989067,593419678,87.103,1.021,88.05,5,1
1785989067,660257080,88.763,1.36,90.045,5,1
1785989067,727095703,90.772,4.78,95.439,5,1
1785989067,793935547,89.339,1.022,90.287,5,1
1785989067,860776855,89.821,0.958,90.706,5,1
1785989067,927619629,88.542,1.032,89.501,5,1
1785989067,994463623,89.345,0.98,90.25,5,1
1785989068,61308838,97.401,1.161,98.484,5,1
1785989068,128155518,101.135,1.819,102.685,5,1
1785989068,161579346,121.895,2.586,124.38,5,1
1785989068,228427979,109.455,2.094,111.472,5,1
1785989068,261852783,143.704,1.233,144.854,5,1
1785989068,328703613,130.796,1.2,131.915,5,1
1785989068,395502686,121.535,1.281,122.727,5,1
1785989068,462253418,115.78,1.85,117.548,5,1
1785989068,529005371,95.879,1.47,97.262,5,1
1785989068,562381836,116.333,1.781,118.028,5,1
1785989068,629135986,120.428,1.477,121.808,5,1
1785989068,695891602,96.439,1.058,97.389,5,1
1785989068,729269775,118.724,21.024,139.563,5,1
1785989068,796027344,98.884,2.511,100.888,5,1
1785989068,829406494,118.195,1.081,119.199,5,1
1785989068,896166016,97.994,9.945,107.829,5,1
1785989068,929546143,120.584,1.607,121.917,5,1
1785989068,996307861,116.536,6.63,123.079,5,1
1785989069,29688965,157.031,1.348,158.288,5,1
1785989069,129834961,118.31,1.364,119.594,5,1
1785989069,196600342,95.671,1.345,96.939,5,1
1785989069,229983643,120.9,1.325,122.138,5,1
1785989069,296751465,98.51,3.57,101.995,5,1
1785989069,330135742,117.976,1.254,119.146,5,1
1785989069,396863525,95.845,1.421,97.174,5,1
1785989069,430207031,122.368,1.246,123.531,5,1
1785989069,496893799,114.41,1.233,115.565,5,1
1785989069,563580322,90.707,1.027,91.66,5,1
1785989069,630266357,86.734,1.017,87.678,5,1
1785989069,696951904,85.266,1.077,86.268,5,1
1785989069,763636963,90.117,10.316,100.302,5,1
1785989069,796979248,110.388,1.503,111.807,5,1
1785989069,830321533,123.685,1.679,125.276,5,1
1785989069,897005859,114.272,1.32,115.509,5,1
1785989069,930347900,121.749,1.003,122.679,5,1
1785989070,30373047,97.902,1.271,99.085,5,1
1785989070,63714600,124.821,1.631,126.364,5,1
1785989070,97055908,160.629,1.597,162.105,5,1
1785989070,197079590,129.626,2.796,132.31,5,1
1785989070,263761475,119.628,4.681,124.179,5,1
1785989070,330442871,117.109,1.337,118.269,5,1
1785989070,363783936,136.173,1.963,137.982,5,1
1785989070,430467773,114.186,1.21,115.306,5,1
1785989070,497150879,101.018,2.611,103.509,5,1
1785989070,530492432,119.354,3.777,123.028,5,1
1785989070,597174805,118.602,1.389,119.901,5,1
1785989070,663856689,93.559,2.151,95.562,5,1
1785989070,763878174,91.639,12.105,103.602,5,1
1785989070,797218506,115.513,2.625,118.055,5,1
1785989070,863898682,107.693,1.69,109.285,5,1
1785989070,897238525,126.76,1.977,128.63,5,1
1785989070,963917725,102.465,1.644,104.024,5,1
1785989071,30596436,103.331,2.982,106.218,5,1
1785989071,63935547,126.208,1.561,127.685,5,1
1785989071,130613281,122.79,1.347,124.054,5,1
1785989071,197290527,97.393,1.498,98.805,5,1
1785989071,297305420,90.696,1.011,91.635,5,1
1785989071,363981689,87.886,1.039,88.853,5,1
1785989071,430664063,88.987,0.962,89.876,5,1
1785989071,497345703,89.556,1.02,90.505,5,1
1785989071,564026855,86.783,1.001,87.709,5,1
1785989071,630707520,89.938,1.017,90.882,5,1
