stamp_sec,stamp_nanosec,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1782120717,665342529,1,848,480,88.394,87.649,1.354,86.295,11.351,39.818,12.7,22.427,74.944,0.739,0.006,268.345,356.73
1782120717,732144043,1,848,480,90.164,89.406,1.289,88.117,8.75,39.478,12.472,27.417,79.367,0.75,0.008,302.222,392.413
1782120717,865755127,1,848,480,81.419,80.714,1.042,79.672,10.242,38.037,12.387,19.006,69.43,0.701,0.004,271.327,352.739
1782120717,932564941,1,848,480,78.638,77.724,0.957,76.767,8.106,38.607,12.106,17.949,68.661,0.907,0.007,299.014,377.683
1782120717,999377686,1,848,480,84.537,83.758,2.08,81.678,12.848,38.104,12.485,18.242,68.83,0.774,0.004,332.844,417.264
1782120718,166421387,1,848,480,79.964,78.998,1.648,77.35,9.779,38.111,12.128,17.332,67.571,0.961,0.004,261.281,341.251
1782120718,199832275,1,848,480,92.893,92.093,5.76,86.333,12.704,37.697,13.049,22.882,73.629,0.795,0.005,318.463,411.335
1782120718,333482910,1,848,480,79.101,78.365,0.968,77.397,9.062,38.571,12.381,17.383,68.335,0.733,0.004,289.964,369.058
1782120718,534236816,1,848,480,80.53,79.554,1.505,78.048,10.146,37.874,12.261,17.768,67.903,0.973,0.004,265.937,346.468
1782120718,701988525,1,848,480,82.11,81.364,1.386,79.978,11.067,37.899,12.358,18.654,68.91,0.742,0.004,233.126,315.158
1782120718,735542480,1,848,480,96.569,95.524,5.326,90.198,15.27,39.865,12.13,22.933,74.928,1.04,0.006,293.715,390.219
1782120718,936891602,1,848,480,83.149,82.346,1.343,81.003,9.484,36.821,16.561,18.136,71.519,0.799,0.004,251.663,334.788
1782120719,4017822,1,848,480,101.949,101.167,5.302,95.865,9.521,47.137,12.039,27.168,86.344,0.778,0.004,280.437,382.383
1782120719,138284424,0,848,480,79.387,78.679,0.932,77.747,8.387,39.546,12.386,17.427,69.36,0.704,0.004,259.59,338.976
1782120719,238997070,1,848,480,89.441,88.65,3.265,85.385,16.957,37.239,12.457,18.732,68.428,0.787,0.004,252.853,342.29
1782120719,406875488,1,848,480,79.973,79.182,1.152,78.029,9.254,37.214,12.415,19.146,68.776,0.787,0.004,230.811,310.689
1782120719,474030518,1,848,480,80.353,79.131,0.964,78.167,9.556,38.936,12.47,17.205,68.612,1.216,0.006,253.919,334.324
1782120719,574264893,1,848,480,89.852,89.019,2.189,86.83,16.768,37.602,12.032,20.428,70.062,0.829,0.005,255.252,345.174
1782120719,740796875,1,848,480,91.692,90.942,5.709,85.233,9.378,42.662,15.714,17.48,75.856,0.746,0.004,198.001,289.686
1782120719,874014160,1,848,480,98.585,97.817,1.613,96.204,9.005,49.515,14.25,23.434,87.199,0.765,0.004,191.259,289.751
1782120719,940620361,1,848,480,84.671,83.64,1.026,82.614,7.563,39.119,18.517,17.414,75.051,1.027,0.004,249.445,334.131
1782120720,7224365,0,848,480,89.462,88.704,1.724,86.98,7.666,48.185,12.05,19.08,79.314,0.75,0.008,281.518,370.992
1782120720,107127441,1,848,480,88.476,87.747,3.957,83.79,10.61,37.909,12.74,22.531,73.18,0.724,0.004,281.983,370.432
1782120720,273623291,1,848,480,99.346,98.603,1.2,97.403,9.903,49.926,13.787,23.787,87.5,0.739,0.004,240.639,339.978
1782120720,373515381,1,848,480,83.663,82.88,1.563,81.317,10.9,39.082,12.373,18.963,70.417,0.78,0.004,256.664,340.324
1782120720,473403320,1,848,480,80.673,79.898,1.432,78.467,9.405,39.157,12.291,17.614,69.061,0.77,0.005,256.387,337.059
1782120720,573107422,0,848,480,79.62,78.854,1.146,77.708,9.314,38.06,12.632,17.701,68.393,0.761,0.005,264.985,344.606
1782120720,706646973,1,848,480,87.089,86.352,1.29,85.063,11.914,41.696,12.422,19.03,73.148,0.732,0.004,226.587,313.671
1782120720,806807861,1,848,480,93.69,92.914,1.448,91.466,14.949,39.353,12.246,24.918,76.517,0.772,0.004,223.972,317.656
1782120720,940364014,1,848,480,95.0,94.125,6.078,88.047,7.781,50.397,12.532,17.336,80.265,0.869,0.007,195.834,290.846
1782120720,973754639,1,848,480,81.574,80.123,2.314,77.809,9.648,37.476,12.418,18.267,68.162,1.444,0.007,269.009,350.698
1782120721,140716064,1,848,480,92.699,91.784,1.644,90.14,10.042,49.27,13.105,17.723,80.098,0.911,0.004,235.519,328.228
1782120721,174110107,1,848,480,80.107,79.376,1.91,77.466,8.265,38.183,12.105,18.912,69.201,0.725,0.006,311.202,391.313
1782120721,341089355,1,848,480,83.161,82.426,1.312,81.115,10.094,40.613,12.588,17.819,71.02,0.731,0.004,243.016,326.172
1782120721,407885254,1,848,480,80.665,79.918,1.826,78.092,9.302,39.066,12.164,17.56,68.79,0.743,0.004,270.371,351.032
1782120721,474683594,1,848,480,91.294,90.499,1.291,89.208,10.071,37.74,12.285,29.111,79.136,0.79,0.006,295.252,386.538
1782120721,608131104,1,848,480,101.486,100.614,2.251,98.363,9.927,49.344,12.097,26.995,88.436,0.866,0.006,268.38,369.872
1782120721,808927490,1,848,480,77.787,76.992,1.282,75.709,7.65,37.007,12.307,18.746,68.059,0.791,0.005,235.433,313.196
1782120721,942803955,1,848,480,85.159,84.422,1.376,83.046,7.648,38.074,12.952,24.373,75.399,0.734,0.004,234.202,319.332
1782120722,43217529,1,848,480,104.596,103.773,1.907,101.866,10.096,51.2,13.111,27.459,91.771,0.817,0.007,230.593,335.195
1782120722,177110840,1,848,480,91.624,90.799,1.396,89.403,9.3,51.143,12.119,16.841,80.103,0.822,0.004,219.454,311.075
1782120722,277537109,1,848,480,84.929,83.475,2.068,81.408,9.997,36.903,12.533,21.975,71.411,1.447,0.006,222.106,307.052
1782120722,411447266,0,848,480,86.671,85.685,1.959,83.726,7.513,47.516,12.146,16.552,76.213,0.981,0.004,187.421,274.213
